id,usuario,fecha,contenido,retweets,likes,respuestas,Texto_Procesado
1,@usuario1,2025-07-24,"Esto es increible, estoy extasiado! #extasis",125,78,33,increible extasiado extasis
2,@usuario2,2025-05-21,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",38,113,69,experiencia maravilloso satisfecho satisfaccion
3,@usuario3,2025-08-12,El peor servicio que he recibido. #colera,177,170,63,peor servicio recibido colera
4,@usuario4,2025-08-31,Me siento decepcionado con la calidad. #decepcion,68,126,30,sentir decepcionado calidad decepcion
5,@usuario5,2025-03-24,"No volvere a comprar aqui, muy decepcionado. #decepcion",136,275,35,volverir comprar aqui decepcionado decepcion
6,@usuario6,2025-01-16,Estoy muy feliz con este producto! #alegria,173,28,43,feliz producto alegrio
7,@usuario7,2025-08-08,El peor servicio que he recibido. #colera,157,62,88,peor servicio recibido colera
8,@usuario8,2025-08-29,"Esto es increible, estoy extasiado! #extasis",184,101,92,increible extasiado extasis
9,@usuario9,2025-05-15,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",9,235,87,experiencia maravilloso satisfecho satisfaccion
10,@usuario10,2025-12-03,"Un producto realmente bueno, supero mis expectativas. #alegria",67,59,29,producto realmente bueno supero expectativa alegrio
11,@usuario11,2025-07-26,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",21,77,97,experiencia maravilloso satisfecho satisfaccion
12,@usuario12,2025-02-06,"No volvere a comprar aqui, muy decepcionado. #decepcion",157,212,23,volverir comprar aqui decepcionado decepcion
13,@usuario13,2025-02-27,Me siento decepcionado con la calidad. #decepcion,178,488,62,sentir decepcionado calidad decepcion
14,@usuario14,2025-07-28,"Esto es increible, estoy extasiado! #extasis",67,58,99,increible extasiado extasis
15,@usuario15,2025-05-20,"Esto es increible, estoy extasiado! #extasis",195,100,27,increible extasiado extasis
16,@usuario16,2025-09-03,Es frustrante que no funcione como esperaba. #frustracion,11,69,28,frustrante funcione esperar frustracion
17,@usuario17,2025-12-14,"Esto es increible, estoy extasiado! #extasis",128,240,77,increible extasiado extasis
18,@usuario18,2025-11-22,No puedo creer lo mal que funciona esto. #colera,90,126,3,poder creer mal función colera
19,@usuario19,2025-01-17,Me siento decepcionado con la calidad. #decepcion,194,131,89,sentir decepcionado calidad decepcion
20,@usuario20,2025-02-04,"No volvere a comprar aqui, muy decepcionado. #decepcion",155,150,31,volverir comprar aqui decepcionado decepcion
21,@usuario21,2025-08-27,No puedo creer lo mal que funciona esto. #colera,33,212,51,poder creer mal función colera
22,@usuario22,2025-11-20,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",114,12,4,experiencia maravilloso satisfecho satisfaccion
23,@usuario23,2025-11-03,Me siento decepcionado con la calidad. #decepcion,149,118,41,sentir decepcionado calidad decepcion
24,@usuario24,2025-04-12,No puedo creer lo mal que funciona esto. #colera,114,26,2,poder creer mal función colera
