id,usuario,fecha,contenido,likes,comentarios,Texto_Procesado
1,usuario1,2025-02-27,Estoy muy feliz con este producto! #alegria,498,97,feliz producto alegrio
2,usuario2,2025-12-02,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",88,41,experiencia maravilloso satisfecho satisfaccion
3,usuario3,2025-07-05,No puedo creer lo mal que funciona esto. #colera,380,143,poder creer mal función colera
4,usuario4,2025-07-31,No puedo creer lo mal que funciona esto. #colera,588,40,poder creer mal función colera
5,usuario5,2025-09-15,Me siento decepcionado con la calidad. #decepcion,253,175,sentir decepcionado calidad decepcion
6,usuario6,2025-10-22,"Esto es increible, estoy extasiado! #extasis",913,185,increible extasiado extasis
7,usuario7,2025-05-24,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",656,69,experiencia maravilloso satisfecho satisfaccion
8,usuario8,2025-01-24,El peor servicio que he recibido. #colera,269,16,peor servicio recibido colera
9,usuario9,2025-04-24,"Esto es increible, estoy extasiado! #extasis",569,15,increible extasiado extasis
10,usuario10,2025-02-21,No puedo creer lo mal que funciona esto. #colera,302,32,poder creer mal función colera
11,usuario11,2025-07-21,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",191,0,experiencia maravilloso satisfecho satisfaccion
12,usuario12,2025-03-24,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",757,113,servicio excelente satisfecho satisfaccion
13,usuario13,2025-10-12,No puedo creer lo mal que funciona esto. #colera,186,180,poder creer mal función colera
14,usuario14,2025-07-19,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",791,25,servicio excelente satisfecho satisfaccion
15,usuario15,2025-11-10,No puedo creer lo mal que funciona esto. #colera,187,19,poder creer mal función colera
16,usuario16,2025-02-03,Me siento decepcionado con la calidad. #decepcion,733,14,sentir decepcionado calidad decepcion
17,usuario17,2025-12-27,Es frustrante que no funcione como esperaba. #frustracion,51,26,frustrante funcione esperar frustracion
18,usuario18,2025-01-10,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",706,10,servicio excelente satisfecho satisfaccion
19,usuario19,2025-10-01,"No volvere a comprar aqui, muy decepcionado. #decepcion",757,107,volverir comprar aqui decepcionado decepcion
20,usuario20,2025-07-29,"No volvere a comprar aqui, muy decepcionado. #decepcion",580,27,volverir comprar aqui decepcionado decepcion
21,usuario21,2025-10-07,Es frustrante que no funcione como esperaba. #frustracion,13,27,frustrante funcione esperar frustracion
22,usuario22,2025-03-05,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",664,107,experiencia maravilloso satisfecho satisfaccion
23,usuario23,2025-04-26,"Esto es increible, estoy extasiado! #extasis",854,117,increible extasiado extasis
24,usuario24,2025-09-30,No puedo creer lo mal que funciona esto. #colera,910,48,poder creer mal función colera
25,usuario25,2025-09-10,No puedo creer lo mal que funciona esto. #colera,839,107,poder creer mal función colera
26,usuario26,2025-06-30,"No volvere a comprar aqui, muy decepcionado. #decepcion",523,38,volverir comprar aqui decepcionado decepcion
27,usuario27,2025-03-11,Es frustrante que no funcione como esperaba. #frustracion,30,11,frustrante funcione esperar frustracion
28,usuario28,2025-01-10,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",0,195,experiencia maravilloso satisfecho satisfaccion
29,usuario29,2025-07-27,Me siento decepcionado con la calidad. #decepcion,771,83,sentir decepcionado calidad decepcion
30,usuario30,2025-06-12,No puedo creer lo mal que funciona esto. #colera,496,175,poder creer mal función colera
31,usuario31,2025-10-25,"No volvere a comprar aqui, muy decepcionado. #decepcion",395,69,volverir comprar aqui decepcionado decepcion
32,usuario32,2025-06-25,"No volvere a comprar aqui, muy decepcionado. #decepcion",394,34,volverir comprar aqui decepcionado decepcion
33,usuario33,2025-05-27,Es frustrante que no funcione como esperaba. #frustracion,886,127,frustrante funcione esperar frustracion
34,usuario34,2025-04-26,"Esto es increible, estoy extasiado! #extasis",897,112,increible extasiado extasis
35,usuario35,2025-09-20,Me siento decepcionado con la calidad. #decepcion,444,79,sentir decepcionado calidad decepcion
36,usuario36,2025-05-05,"Un producto realmente bueno, supero mis expectativas. #alegria",943,107,producto realmente bueno supero expectativa alegrio
37,usuario37,2025-04-30,Me siento decepcionado con la calidad. #decepcion,285,4,sentir decepcionado calidad decepcion
38,usuario38,2025-10-27,"No volvere a comprar aqui, muy decepcionado. #decepcion",347,128,volverir comprar aqui decepcionado decepcion
39,usuario39,2025-07-27,No puedo creer lo mal que funciona esto. #colera,963,44,poder creer mal función colera
40,usuario40,2025-02-24,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",882,110,servicio excelente satisfecho satisfaccion
41,usuario41,2025-01-03,"Un producto realmente bueno, supero mis expectativas. #alegria",213,35,producto realmente bueno supero expectativa alegrio
42,usuario42,2025-09-10,"No volvere a comprar aqui, muy decepcionado. #decepcion",869,99,volverir comprar aqui decepcionado decepcion
43,usuario43,2025-11-07,Estoy muy feliz con este producto! #alegria,31,137,feliz producto alegrio
44,usuario44,2025-12-14,El peor servicio que he recibido. #colera,344,157,peor servicio recibido colera
45,usuario45,2025-12-24,No puedo creer lo mal que funciona esto. #colera,962,196,poder creer mal función colera
46,usuario46,2025-01-11,"Esto es increible, estoy extasiado! #extasis",412,87,increible extasiado extasis
47,usuario47,2025-11-10,Me siento decepcionado con la calidad. #decepcion,58,111,sentir decepcionado calidad decepcion
48,usuario48,2025-05-02,"No volvere a comprar aqui, muy decepcionado. #decepcion",599,197,volverir comprar aqui decepcionado decepcion
49,usuario49,2025-03-10,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",763,133,servicio excelente satisfecho satisfaccion
50,usuario50,2025-01-10,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",17,54,experiencia maravilloso satisfecho satisfaccion
51,usuario51,2025-07-07,"Esto es increible, estoy extasiado! #extasis",188,42,increible extasiado extasis
52,usuario52,2025-04-12,Estoy muy feliz con este producto! #alegria,139,107,feliz producto alegrio
53,usuario53,2025-08-05,El peor servicio que he recibido. #colera,159,37,peor servicio recibido colera
54,usuario54,2025-09-11,El peor servicio que he recibido. #colera,120,41,peor servicio recibido colera
55,usuario55,2025-02-12,No puedo creer lo mal que funciona esto. #colera,285,72,poder creer mal función colera
56,usuario56,2025-07-17,"No volvere a comprar aqui, muy decepcionado. #decepcion",644,174,volverir comprar aqui decepcionado decepcion
57,usuario57,2025-10-15,"No volvere a comprar aqui, muy decepcionado. #decepcion",774,166,volverir comprar aqui decepcionado decepcion
58,usuario58,2025-02-08,El peor servicio que he recibido. #colera,602,190,peor servicio recibido colera
59,usuario59,2025-01-20,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",313,83,experiencia maravilloso satisfecho satisfaccion
60,usuario60,2025-12-15,Me siento decepcionado con la calidad. #decepcion,743,181,sentir decepcionado calidad decepcion
61,usuario61,2025-05-17,Estoy muy feliz con este producto! #alegria,162,191,feliz producto alegrio
62,usuario62,2025-04-17,"Esto es increible, estoy extasiado! #extasis",77,61,increible extasiado extasis
63,usuario63,2025-09-20,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",276,75,servicio excelente satisfecho satisfaccion
64,usuario64,2025-01-25,"Un producto realmente bueno, supero mis expectativas. #alegria",648,87,producto realmente bueno supero expectativa alegrio
65,usuario65,2025-04-11,No puedo creer lo mal que funciona esto. #colera,319,116,poder creer mal función colera
66,usuario66,2025-09-30,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",501,127,experiencia maravilloso satisfecho satisfaccion
67,usuario67,2025-11-12,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",637,124,experiencia maravilloso satisfecho satisfaccion
68,usuario68,2025-11-18,El peor servicio que he recibido. #colera,514,195,peor servicio recibido colera
69,usuario69,2025-11-24,Estoy muy feliz con este producto! #alegria,989,126,feliz producto alegrio
70,usuario70,2025-12-13,"No volvere a comprar aqui, muy decepcionado. #decepcion",191,193,volverir comprar aqui decepcionado decepcion
71,usuario71,2025-09-19,Me siento decepcionado con la calidad. #decepcion,786,145,sentir decepcionado calidad decepcion
72,usuario72,2025-12-07,"Un producto realmente bueno, supero mis expectativas. #alegria",279,3,producto realmente bueno supero expectativa alegrio
73,usuario73,2025-09-20,"No volvere a comprar aqui, muy decepcionado. #decepcion",352,125,volverir comprar aqui decepcionado decepcion
74,usuario74,2025-05-12,"Esto es increible, estoy extasiado! #extasis",397,18,increible extasiado extasis
75,usuario75,2025-01-04,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",878,110,experiencia maravilloso satisfecho satisfaccion
76,usuario76,2025-08-02,"No volvere a comprar aqui, muy decepcionado. #decepcion",447,199,volverir comprar aqui decepcionado decepcion
77,usuario77,2025-06-15,No puedo creer lo mal que funciona esto. #colera,527,21,poder creer mal función colera
78,usuario78,2025-01-11,"Un producto realmente bueno, supero mis expectativas. #alegria",835,73,producto realmente bueno supero expectativa alegrio
79,usuario79,2025-03-02,"No volvere a comprar aqui, muy decepcionado. #decepcion",968,195,volverir comprar aqui decepcionado decepcion
80,usuario80,2025-03-27,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",187,152,experiencia maravilloso satisfecho satisfaccion
81,usuario81,2025-04-21,"Un producto realmente bueno, supero mis expectativas. #alegria",334,164,producto realmente bueno supero expectativa alegrio
82,usuario82,2025-09-18,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",190,54,servicio excelente satisfecho satisfaccion
