Texto_Procesado,Sentimiento
experiencia maravilloso satisfecho satisfaccion,Positivo
peor servicio recibido colera,Negativo
servicio excelente satisfecho satisfaccion,Positivo
poder creer mal función colera,Negativo
increible extasiado extasis,Positivo
volverir comprar aqui decepcionado decepcion,Negativo
sentir decepcionado calidad decepcion,Negativo
frustrante funcione esperar frustracion,Negativo
peor servicio recibido colera,Negativo
volverir comprar aqui decepcionado decepcion,Negativo
increible extasiado extasis,Positivo
producto realmente bueno supero expectativa alegrio,Positivo
peor servicio recibido colera,Negativo
volverir comprar aqui decepcionado decepcion,Negativo
poder creer mal función colera,Negativo
volverir comprar aqui decepcionado decepcion,Negativo
poder creer mal función colera,Negativo
volverir comprar aqui decepcionado decepcion,Negativo
servicio excelente satisfecho satisfaccion,Positivo
peor servicio recibido colera,Negativo
feliz producto alegrio,Positivo
experiencia maravilloso satisfecho satisfaccion,Positivo
increible extasiado extasis,Positivo
volverir comprar aqui decepcionado decepcion,Negativo
peor servicio recibido colera,Negativo
volverir comprar aqui decepcionado decepcion,Negativo
volverir comprar aqui decepcionado decepcion,Negativo
poder creer mal función colera,Negativo
frustrante funcione esperar frustracion,Negativo
peor servicio recibido colera,Negativo
sentir decepcionado calidad decepcion,Negativo
servicio excelente satisfecho satisfaccion,Positivo
increible extasiado extasis,Positivo
feliz producto alegrio,Positivo
producto realmente bueno supero expectativa alegrio,Positivo
frustrante funcione esperar frustracion,Negativo
feliz producto alegrio,Positivo
poder creer mal función colera,Negativo
frustrante funcione esperar frustracion,Negativo
feliz producto alegrio,Positivo
increible extasiado extasis,Positivo
poder creer mal función colera,Negativo
producto realmente bueno supero expectativa alegrio,Positivo
sentir decepcionado calidad decepcion,Negativo
volverir comprar aqui decepcionado decepcion,Negativo
peor servicio recibido colera,Negativo
peor servicio recibido colera,Negativo
peor servicio recibido colera,Negativo
increible extasiado extasis,Positivo
servicio excelente satisfecho satisfaccion,Positivo
producto realmente bueno supero expectativa alegrio,Positivo
producto realmente bueno supero expectativa alegrio,Positivo
sentir decepcionado calidad decepcion,Negativo
feliz producto alegrio,Positivo
volverir comprar aqui decepcionado decepcion,Negativo
experiencia maravilloso satisfecho satisfaccion,Positivo
experiencia maravilloso satisfecho satisfaccion,Positivo
peor servicio recibido colera,Negativo
frustrante funcione esperar frustracion,Negativo
experiencia maravilloso satisfecho satisfaccion,Positivo
peor servicio recibido colera,Negativo
feliz producto alegrio,Positivo
peor servicio recibido colera,Negativo
sentir decepcionado calidad decepcion,Negativo
