id,usuario,fecha,contenido,likes,comentarios,compartidos,Texto_Procesado,Sentimiento
1,usuario1,2025-09-19,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",79,87,26,experiencia maravilloso satisfecho satisfaccion,Positivo
2,usuario2,2025-09-05,El peor servicio que he recibido. #colera,341,98,7,peor servicio recibido colera,Negativo
3,usuario3,2025-03-13,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",144,25,41,servicio excelente satisfecho satisfaccion,Positivo
4,usuario4,2025-07-28,No puedo creer lo mal que funciona esto. #colera,366,41,37,poder creer mal función colera,Negativo
5,usuario5,2025-05-14,"Esto es increible, estoy extasiado! #extasis",451,4,31,increible extasiado extasis,Positivo
6,usuario6,2025-08-26,"No volvere a comprar aqui, muy decepcionado. #decepcion",128,12,11,volverir comprar aqui decepcionado decepcion,Negativo
7,usuario7,2025-05-12,Me siento decepcionado con la calidad. #decepcion,44,57,8,sentir decepcionado calidad decepcion,Negativo
8,usuario8,2025-06-25,Es frustrante que no funcione como esperaba. #frustracion,320,79,43,frustrante funcione esperar frustracion,Negativo
9,usuario9,2025-05-20,El peor servicio que he recibido. #colera,318,85,28,peor servicio recibido colera,Negativo
10,usuario10,2025-07-02,"No volvere a comprar aqui, muy decepcionado. #decepcion",1,99,35,volverir comprar aqui decepcionado decepcion,Negativo
11,usuario11,2025-09-10,"Esto es increible, estoy extasiado! #extasis",45,66,1,increible extasiado extasis,Positivo
12,usuario12,2025-01-28,"Un producto realmente bueno, supero mis expectativas. #alegria",491,69,12,producto realmente bueno supero expectativa alegrio,Positivo
13,usuario13,2025-10-15,El peor servicio que he recibido. #colera,290,67,40,peor servicio recibido colera,Negativo
14,usuario14,2025-10-27,"No volvere a comprar aqui, muy decepcionado. #decepcion",476,87,36,volverir comprar aqui decepcionado decepcion,Negativo
15,usuario15,2025-02-25,No puedo creer lo mal que funciona esto. #colera,16,78,38,poder creer mal función colera,Negativo
16,usuario16,2025-01-16,"No volvere a comprar aqui, muy decepcionado. #decepcion",229,40,0,volverir comprar aqui decepcionado decepcion,Negativo
17,usuario17,2025-07-17,No puedo creer lo mal que funciona esto. #colera,62,6,39,poder creer mal función colera,Negativo
18,usuario18,2025-01-21,"No volvere a comprar aqui, muy decepcionado. #decepcion",173,14,30,volverir comprar aqui decepcionado decepcion,Negativo
19,usuario19,2025-04-08,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",412,48,8,servicio excelente satisfecho satisfaccion,Positivo
20,usuario20,2025-12-06,El peor servicio que he recibido. #colera,202,52,38,peor servicio recibido colera,Negativo
21,usuario21,2025-10-25,Estoy muy feliz con este producto! #alegria,132,15,24,feliz producto alegrio,Positivo
22,usuario22,2025-06-21,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",35,12,6,experiencia maravilloso satisfecho satisfaccion,Positivo
23,usuario23,2025-12-24,"Esto es increible, estoy extasiado! #extasis",346,71,13,increible extasiado extasis,Positivo
24,usuario24,2025-12-10,"No volvere a comprar aqui, muy decepcionado. #decepcion",296,68,35,volverir comprar aqui decepcionado decepcion,Negativo
